
(0,0,M)

(0,1,B)

(0,2,B)

(0,3,B)

(0,4,B)

(0,5,B)

(0,6,B)

(0,7,B)

(0,8,B)

(0,9,B)

(1,0,B)

(1,1,B)

(1,2,B)

(1,3,B)

(1,4,B)

(1,5,B)

(1,6,B)

(1,7,B)

(1,8,B)

(1,9,B)

(2,0,B)

(2,1,B)

(2,2,B)

(2,3,B)

(2,4,B)

(2,5,B)

(2,6,B)

(2,7,B)

(2,8,B)

(2,9,B)

(3,0,B)

(3,1,B)

(3,2,B)

(3,3,B)

(3,4,B)

(3,5,B)

(3,6,B)

(3,7,B)

(3,8,B)

(3,9,B)

(4,0,B)

(4,1,B)

(4,2,B)

(4,3,B)

(4,4,B)

(4,5,B)

(4,6,B)

(4,7,B)

(4,8,B)

(4,9,B)

(5,0,B)

(5,1,B)

(5,2,B)

(5,3,B)

(5,4,B)

(5,5,B)

(5,6,B)

(5,7,B)

(5,8,B)

(5,9,B)

(6,0,B)

(6,1,B)

(6,2,B)

(6,3,B)

(6,4,B)

(6,5,B)

(6,6,B)

(6,7,B)

(6,8,B)

(6,9,B)

(7,0,B)

(7,1,B)

(7,2,B)

(7,3,B)

(7,4,B)

(7,5,B)

(7,6,B)

(7,7,B)

(7,8,B)

(7,9,B)

(8,0,B)

(8,1,B)

(8,2,B)

(8,3,B)

(8,4,B)

(8,5,B)

(8,6,B)

(8,7,B)

(8,8,B)

(8,9,B)

(9,0,B)

(9,1,B)

(9,2,B)

(9,3,B)

(9,4,B)

(9,5,B)

(9,6,B)

(9,7,B)

(9,8,B)

(9,9,B)

(10,0,B)

(10,1,B)

(10,2,B)

(10,3,B)

(10,4,B)

(10,5,B)

(10,6,B)

(10,7,B)

(10,8,B)

(10,9,B)

(11,0,B)

(11,1,B)

(11,2,B)

(11,3,B)

(11,4,B)

(11,5,B)

(11,6,B)

(11,7,B)

(11,8,B)

(11,9,B)

(12,0,B)

(12,1,B)

(12,2,B)

(12,3,B)

(12,4,B)

(12,5,B)

(12,6,B)

(12,7,B)

(12,8,B)

(12,9,B)

(13,0,B)

(13,1,B)

(13,2,B)

(13,3,B)

(13,4,B)

(13,5,B)

(13,6,B)

(13,7,B)

(13,8,B)

(13,9,B)

(14,0,B)

(14,1,B)

(14,2,B)

(14,3,B)

(14,4,B)

(14,5,B)

(14,6,B)

(14,7,B)

(14,8,B)

(14,9,B)

(15,0,B)

(15,1,B)

(15,2,B)

(15,3,B)

(15,4,B)

(15,5,B)

(15,6,B)

(15,7,B)

(15,8,B)

(15,9,B)

(16,0,B)

(16,1,B)

(16,2,B)

(16,3,B)

(16,4,B)

(16,5,B)

(16,6,B)

(16,7,B)

(16,8,B)

(16,9,B)

(17,0,B)

(17,1,B)

(17,2,B)

(17,3,B)

(17,4,B)

(17,5,B)

(17,6,B)

(17,7,B)

(17,8,K)

(17,9,K)

(18,0,B)

(18,1,B)

(18,2,B)

(18,3,B)

(18,4,B)

(18,5,B)

(18,6,B)

(18,7,K)

(18,8,B)

(18,9,K)

(19,0,B)

(19,1,B)

(19,2,B)

(19,3,B)

(19,4,B)

(19,5,B)

(19,6,B)

(19,7,B)

(19,8,K)

(19,9,Y)
